p=0, d=0, q=0, P=0, D=0, Q=0, AIC=28567.883330290133, MSE=2.9038869161678993, Time=0.08s
p=0, d=0, q=0, P=0, D=0, Q=1, AIC=27933.797166938508, MSE=2.8974250611627537, Time=1.22s
p=0, d=0, q=0, P=0, D=0, Q=2, AIC=27653.142216361462, MSE=2.894897535117447, Time=7.33s
p=0, d=0, q=0, P=0, D=1, Q=0, AIC=29174.959855718556, MSE=2.589404920361651, Time=0.38s
p=0, d=0, q=0, P=0, D=1, Q=1, AIC=26005.098742692142, MSE=2.2034387223586336, Time=8.47s
p=0, d=0, q=0, P=0, D=1, Q=2, AIC=26004.171549133556, MSE=2.196422713057838, Time=33.87s
p=0, d=0, q=0, P=1, D=0, Q=0, AIC=27575.757936470767, MSE=2.8891899801930707, Time=6.35s

p=0, d=0, q=0, P=1, D=0, Q=1, AIC=27703.429725031037, MSE=2.891139447297693, Time=11.26s

p=0, d=0, q=0, P=1, D=0, Q=2, AIC=27593.634203486537, MSE=2.8959666619962885, Time=66.21s
p=0, d=0, q=0, P=1, D=1, Q=0, AIC=27809.783285994694, MSE=2.4750526838747358, Time=5.35s
p=0, d=0, q=0, P=1, D=1, Q=1, AIC=26004.164619430536, MSE=2.196230683161433, Time=14.09s
p=0, d=0, q=0, P=1, D=1, Q=2, AIC=26006.148849528872, MSE=2.197688113348215, Time=80.11s

p=0, d=0, q=0, P=2, D=0, Q=0, AIC=32738.222337306895, MSE=3.5313989384117583, Time=106.02s

p=0, d=0, q=0, P=2, D=0, Q=1, AIC=29596.621296493526, MSE=9.12208007202783, Time=59.67s

p=0, d=0, q=0, P=2, D=0, Q=2, AIC=27254.191016853132, MSE=4.215670533595576, Time=67.66s
p=0, d=0, q=0, P=2, D=1, Q=0, AIC=27179.533446834408, MSE=2.4067250855872158, Time=18.38s
p=0, d=0, q=0, P=2, D=1, Q=1, AIC=26006.152967690035, MSE=2.195754905797129, Time=36.27s
p=0, d=0, q=0, P=2, D=1, Q=2, AIC=26008.107364495085, MSE=2.1965979152558788, Time=44.67s
p=0, d=0, q=1, P=0, D=0, Q=0, AIC=27436.471843096646, MSE=2.9029355251774094, Time=0.55s
p=0, d=0, q=1, P=0, D=0, Q=1, AIC=27115.356997307666, MSE=2.8979341633183404, Time=2.09s
p=0, d=0, q=1, P=0, D=0, Q=2, AIC=26959.552667475644, MSE=2.8955994520583928, Time=12.23s
p=0, d=0, q=1, P=0, D=1, Q=0, AIC=28907.719844945157, MSE=2.575914738991247, Time=1.51s
p=0, d=0, q=1, P=0, D=1, Q=1, AIC=25704.01837935122, MSE=2.1939518325503475, Time=13.22s
p=0, d=0, q=1, P=0, D=1, Q=2, AIC=25703.960379259937, MSE=2.1886000530222036, Time=43.57s

p=0, d=0, q=1, P=1, D=0, Q=0, AIC=26969.580205957333, MSE=2.894007632644694, Time=7.66s

p=0, d=0, q=1, P=1, D=0, Q=1, AIC=26954.59334697557, MSE=2.8992427920517567, Time=15.21s

p=0, d=0, q=1, P=1, D=0, Q=2, AIC=27342.872264325946, MSE=2.9008665403199747, Time=60.66s
p=0, d=0, q=1, P=1, D=1, Q=0, AIC=27540.387162098188, MSE=2.4701098875425096, Time=8.34s
p=0, d=0, q=1, P=1, D=1, Q=1, AIC=25703.971401152758, MSE=2.1885112166099194, Time=26.82s
p=0, d=0, q=1, P=1, D=1, Q=2, AIC=25706.347854856387, MSE=2.1926721047658444, Time=38.43s

p=0, d=0, q=1, P=2, D=0, Q=0, AIC=31753.94894382886, MSE=3.393247467284026, Time=54.97s
p=0, d=0, q=1, P=2, D=0, Q=1, AIC=34941.09478782106, MSE=172.90656164964258, Time=48.87s

p=0, d=0, q=1, P=2, D=0, Q=2, AIC=27539.70496256701, MSE=11.773313173963992, Time=75.37s
p=0, d=0, q=1, P=2, D=1, Q=0, AIC=26908.451504190456, MSE=2.4060046668569544, Time=27.63s
p=0, d=0, q=1, P=2, D=1, Q=1, AIC=25705.945044592678, MSE=2.1891915022561457, Time=46.14s
p=0, d=0, q=1, P=2, D=1, Q=2, AIC=25707.751524842864, MSE=2.1892307346770195, Time=53.28s
p=0, d=0, q=2, P=0, D=0, Q=0, AIC=27108.89363455237, MSE=2.901594121766979, Time=0.83s
p=0, d=0, q=2, P=0, D=0, Q=1, AIC=26892.753932936444, MSE=2.8974584036820366, Time=2.89s
p=0, d=0, q=2, P=0, D=0, Q=2, AIC=26779.55600395569, MSE=2.895233940952271, Time=17.25s
p=0, d=0, q=2, P=0, D=1, Q=0, AIC=28890.917274717976, MSE=2.5769037332028932, Time=1.89s
p=0, d=0, q=2, P=0, D=1, Q=1, AIC=25675.888269199735, MSE=2.191065233880269, Time=19.41s
p=0, d=0, q=2, P=0, D=1, Q=2, AIC=25676.100516409853, MSE=2.186157979848956, Time=50.18s

p=0, d=0, q=2, P=1, D=0, Q=0, AIC=26805.065235771395, MSE=2.8939202152839205, Time=11.77s

p=0, d=0, q=2, P=1, D=0, Q=1, AIC=36352.21971120763, MSE=8.406316710696737, Time=15.73s

p=0, d=0, q=2, P=1, D=0, Q=2, AIC=41955.100798993, MSE=67.23863229682632, Time=89.45s
p=0, d=0, q=2, P=1, D=1, Q=0, AIC=27521.847462185622, MSE=2.4702039729753333, Time=8.84s
p=0, d=0, q=2, P=1, D=1, Q=1, AIC=25676.11316568584, MSE=2.186102328164588, Time=22.98s
p=0, d=0, q=2, P=1, D=1, Q=2, AIC=25678.432477642677, MSE=2.1899011396184425, Time=52.63s

p=0, d=0, q=2, P=2, D=0, Q=0, AIC=43415.288065195724, MSE=12.177623795344044, Time=49.60s

p=0, d=0, q=2, P=2, D=0, Q=1, AIC=29774.169825394572, MSE=21.39215109357395, Time=67.56s

p=0, d=0, q=2, P=2, D=0, Q=2, AIC=28660.178017256632, MSE=16.32606734277657, Time=87.81s
p=0, d=0, q=2, P=2, D=1, Q=0, AIC=26891.246212085673, MSE=2.408391249756997, Time=30.26s
p=0, d=0, q=2, P=2, D=1, Q=1, AIC=25678.06290087923, MSE=2.186944403622094, Time=56.12s
p=0, d=0, q=2, P=2, D=1, Q=2, AIC=25679.916754698545, MSE=2.1867874958975775, Time=61.54s
p=0, d=1, q=0, P=0, D=0, Q=0, AIC=28348.766282616205, MSE=4.750498735816072, Time=0.22s
p=0, d=1, q=0, P=0, D=0, Q=1, AIC=28322.927801200993, MSE=4.964475199753113, Time=1.45s
p=0, d=1, q=0, P=0, D=0, Q=2, AIC=28314.515550501994, MSE=5.0664452059008145, Time=7.50s
p=0, d=1, q=0, P=0, D=1, Q=0, AIC=31315.323457725877, MSE=81.29360839317029, Time=0.58s
p=0, d=1, q=0, P=0, D=1, Q=1, AIC=28022.73621266083, MSE=7.029031318550631, Time=11.46s
p=0, d=1, q=0, P=0, D=1, Q=2, AIC=28024.088319942253, MSE=6.83324098765698, Time=50.09s
p=0, d=1, q=0, P=1, D=0, Q=0, AIC=28320.13821186405, MSE=4.999500765815567, Time=1.23s
p=0, d=1, q=0, P=1, D=0, Q=1, AIC=28092.332899617337, MSE=5.741937997224291, Time=7.03s
p=0, d=1, q=0, P=1, D=0, Q=2, AIC=28093.820137345116, MSE=5.865855006664377, Time=36.22s
p=0, d=1, q=0, P=1, D=1, Q=0, AIC=29941.036884536945, MSE=54.8914990912988, Time=6.21s
p=0, d=1, q=0, P=1, D=1, Q=1, AIC=28024.101731753253, MSE=7.030686248644829, Time=16.12s
p=0, d=1, q=0, P=1, D=1, Q=2, AIC=28025.59087640451, MSE=6.66892841681706, Time=41.26s
p=0, d=1, q=0, P=2, D=0, Q=0, AIC=28308.291607293002, MSE=5.1575963974685, Time=5.83s
p=0, d=1, q=0, P=2, D=0, Q=1, AIC=28093.831886224423, MSE=5.77677725452535, Time=34.51s
p=0, d=1, q=0, P=2, D=0, Q=2, AIC=28096.308577315667, MSE=5.729247572778549, Time=32.54s
p=0, d=1, q=0, P=2, D=1, Q=0, AIC=29308.984416086114, MSE=32.59853208162753, Time=17.26s
p=0, d=1, q=0, P=2, D=1, Q=1, AIC=28025.60942929604, MSE=6.881810555998564, Time=60.10s
p=0, d=1, q=0, P=2, D=1, Q=2, AIC=28027.58089632618, MSE=6.897079275682794, Time=44.60s
p=0, d=1, q=1, P=0, D=0, Q=0, AIC=27511.501545911924, MSE=3.685449876069153, Time=0.49s
p=0, d=1, q=1, P=0, D=0, Q=1, AIC=27360.771346411966, MSE=3.774013279932347, Time=1.70s
p=0, d=1, q=1, P=0, D=0, Q=2, AIC=27269.26999064186, MSE=3.8492962419690895, Time=10.42s
p=0, d=1, q=1, P=0, D=1, Q=0, AIC=29225.843750020333, MSE=4.2418635705623595, Time=1.69s
p=0, d=1, q=1, P=0, D=1, Q=1, AIC=25906.06850149143, MSE=2.947926176075503, Time=22.09s
p=0, d=1, q=1, P=0, D=1, Q=2, AIC=25906.905294392636, MSE=2.9563363879131175, Time=96.55s
