timestamp,paid_rate,total_transaction
2023-01-07 12:00:00,80.4,1102
2023-01-07 13:00:00,81.5,1073
2023-01-07 14:00:00,80.0,1135
2023-01-07 15:00:00,80.9,1166
2023-01-07 16:00:00,80.0,862
2023-01-07 17:00:00,80.3,767
2023-01-07 18:00:00,84.4,788
2023-01-07 19:00:00,81.1,768
2023-01-07 20:00:00,81.0,596
2023-01-07 21:00:00,80.1,614
2023-01-07 22:00:00,80.3,588
2023-01-07 23:00:00,81.1,429
2023-01-08 00:00:00,75.8,240
2023-01-08 01:00:00,81.6,163
2023-01-08 02:00:00,78.95003111668619,937
2023-01-08 03:00:00,77.83536396833962,457
2023-01-08 04:00:00,77.41062631438392,502
2023-01-08 05:00:00,79.64278906607083,630
2023-01-08 06:00:00,76.96721416434822,432
2023-01-08 07:00:00,77.69408150225073,400
2023-01-08 08:00:00,74.5,157
2023-01-08 09:00:00,84.6,415
2023-01-08 10:00:00,85.2,766
2023-01-08 11:00:00,84.2,941
2023-01-08 12:00:00,83.5,936
2023-01-08 13:00:00,84.4,867
2023-01-08 14:00:00,81.1,962
2023-01-08 15:00:00,83.4,942
2023-01-08 16:00:00,81.6,868
2023-01-08 17:00:00,81.9,831
2023-01-08 18:00:00,83.6,896
2023-01-08 19:00:00,84.6,865
2023-01-08 20:00:00,84.1,860
2023-01-08 21:00:00,83.3,850
2023-01-08 22:00:00,85.1,572
2023-01-08 23:00:00,76.9,451
2023-01-09 00:00:00,77.8,234
2023-01-09 01:00:00,76.18728093112836,487
2023-01-09 02:00:00,76.81154128929897,494
2023-01-09 03:00:00,79.08432748149873,219
2023-01-09 04:00:00,75.47422256188264,618
2023-01-09 05:00:00,76.97209650716286,1072
2023-01-09 06:00:00,77.31023898444418,564
2023-01-09 07:00:00,78.258145331273,312
2023-01-09 08:00:00,77.9,208
2023-01-09 09:00:00,82.9,463
2023-01-09 10:00:00,84.2,726
2023-01-09 11:00:00,83.2,1187
2023-01-09 12:00:00,80.2,1147
2023-01-09 13:00:00,82.7,875
2023-01-09 14:00:00,78.3,960
