p=2, d=1, q=0, P=0, D=0, Q=1, AIC=27491.239128650406, MSE=4.070354000061735, Time=2.32s
p=2, d=1, q=0, P=0, D=0, Q=2, AIC=27442.714207032972, MSE=4.207196167739621, Time=12.35s
p=2, d=1, q=0, P=0, D=1, Q=0, AIC=30047.38718032222, MSE=63.51808547965786, Time=1.72s
p=2, d=1, q=0, P=0, D=1, Q=1, AIC=26748.35482523479, MSE=3.9128827516834987, Time=19.92s
p=2, d=1, q=0, P=0, D=1, Q=2, AIC=26749.94985739435, MSE=3.9077275763130173, Time=60.99s
p=2, d=1, q=0, P=1, D=0, Q=0, AIC=27467.039052093707, MSE=4.219296937184332, Time=2.28s
p=2, d=1, q=0, P=1, D=0, Q=1, AIC=26837.924063411636, MSE=4.077068498599439, Time=11.35s

p=2, d=1, q=0, P=1, D=0, Q=2, AIC=26839.711595591783, MSE=5.511839835495864, Time=57.65s
p=2, d=1, q=0, P=1, D=1, Q=0, AIC=28667.56740298074, MSE=38.54729813550218, Time=10.60s
p=2, d=1, q=0, P=1, D=1, Q=1, AIC=26749.95909145636, MSE=3.8898654448981214, Time=25.71s
p=2, d=1, q=0, P=1, D=1, Q=2, AIC=26751.548499951077, MSE=3.829864101823862, Time=52.81s
p=2, d=1, q=0, P=2, D=0, Q=0, AIC=27392.44653956915, MSE=4.549994298105426, Time=11.15s
p=2, d=1, q=0, P=2, D=0, Q=1, AIC=26839.625289523974, MSE=4.4749823061794425, Time=49.42s

p=2, d=1, q=0, P=2, D=0, Q=2, AIC=26841.770590741486, MSE=4.009776075943092, Time=63.76s
p=2, d=1, q=0, P=2, D=1, Q=0, AIC=28035.028151169623, MSE=14.470768142657437, Time=27.67s
p=2, d=1, q=0, P=2, D=1, Q=1, AIC=26751.348881724007, MSE=3.921329115364427, Time=66.23s
p=2, d=1, q=0, P=2, D=1, Q=2, AIC=26753.55444980417, MSE=3.8378932164269512, Time=60.74s

p=2, d=1, q=1, P=0, D=0, Q=0, AIC=26880.462542964124, MSE=3.001710414127163, Time=4.19s

p=2, d=1, q=1, P=0, D=0, Q=1, AIC=26734.79751304161, MSE=2.998189235627328, Time=13.71s

p=2, d=1, q=1, P=0, D=0, Q=2, AIC=26656.923829617168, MSE=2.9961159552278898, Time=74.37s
p=2, d=1, q=1, P=0, D=1, Q=0, AIC=28892.986615675218, MSE=3.3810135912176844, Time=8.93s
p=2, d=1, q=1, P=0, D=1, Q=1, AIC=25687.746825245336, MSE=2.830767696307391, Time=62.21s
p=2, d=1, q=1, P=0, D=1, Q=2, AIC=25682.167440879635, MSE=2.7846319765651346, Time=169.30s
p=2, d=1, q=1, P=1, D=0, Q=0, AIC=26684.805914239412, MSE=2.997887769843093, Time=14.16s
p=2, d=1, q=1, P=1, D=0, Q=1, AIC=25807.54975268279, MSE=2.6662344213660614, Time=17.45s
p=2, d=1, q=1, P=1, D=0, Q=2, AIC=25933.704146582055, MSE=2.7653796372793105, Time=47.56s

p=2, d=1, q=1, P=1, D=1, Q=0, AIC=27524.78454719411, MSE=2.990589959142909, Time=52.51s
p=2, d=1, q=1, P=1, D=1, Q=1, AIC=25680.317354545325, MSE=2.9203176598631817, Time=92.79s
p=2, d=1, q=1, P=1, D=1, Q=2, AIC=25697.43967740779, MSE=2.5712539033748794, Time=157.25s

p=2, d=1, q=1, P=2, D=0, Q=0, AIC=26550.365408002137, MSE=3.03071921451108, Time=61.23s
p=2, d=1, q=1, P=2, D=0, Q=1, AIC=25897.90560329587, MSE=2.771137587563783, Time=73.81s
p=2, d=1, q=1, P=2, D=0, Q=2, AIC=25782.633215773418, MSE=2.4018362084227673, Time=123.20s

p=2, d=1, q=1, P=2, D=1, Q=0, AIC=26896.322585049253, MSE=2.886530078710552, Time=147.49s

p=2, d=1, q=1, P=2, D=1, Q=1, AIC=25699.087116691837, MSE=2.1686468904051237, Time=172.74s

p=2, d=1, q=1, P=2, D=1, Q=2, AIC=25701.213227637774, MSE=2.250434279545317, Time=196.63s

p=2, d=1, q=2, P=0, D=0, Q=0, AIC=26942.18695074648, MSE=2.9987384094267515, Time=3.80s


p=2, d=1, q=2, P=0, D=0, Q=1, AIC=26792.293460687666, MSE=2.996105560827855, Time=12.96s

p=2, d=1, q=2, P=0, D=0, Q=2, AIC=26706.429369829697, MSE=2.9925295619234396, Time=89.31s
p=2, d=1, q=2, P=0, D=1, Q=0, AIC=28791.0647876865, MSE=3.199512440681918, Time=11.86s
p=2, d=1, q=2, P=0, D=1, Q=1, AIC=25660.726149531274, MSE=2.724145667983519, Time=52.82s
p=2, d=1, q=2, P=0, D=1, Q=2, AIC=25689.36618340335, MSE=2.727065821297621, Time=144.34s


p=2, d=1, q=2, P=1, D=0, Q=0, AIC=26735.209975895068, MSE=2.982187982737092, Time=13.11s


p=2, d=1, q=2, P=1, D=0, Q=1, AIC=26025.083180912487, MSE=2.7683419344237756, Time=18.68s

p=2, d=1, q=2, P=1, D=0, Q=2, AIC=26248.644152111076, MSE=2.9090946593983125, Time=96.55s
p=2, d=1, q=2, P=1, D=1, Q=0, AIC=27493.038847163632, MSE=2.897843916823549, Time=64.16s

p=2, d=1, q=2, P=1, D=1, Q=1, AIC=25663.13042343531, MSE=2.7093931310432033, Time=80.12s

p=2, d=1, q=2, P=1, D=1, Q=2, AIC=25669.833665087488, MSE=2.607543713126206, Time=183.70s


p=2, d=1, q=2, P=2, D=0, Q=0, AIC=26575.604893012645, MSE=2.9805278955367833, Time=75.61s

p=2, d=1, q=2, P=2, D=0, Q=1, AIC=25940.92250534998, MSE=2.751516294485371, Time=101.30s

p=2, d=1, q=2, P=2, D=0, Q=2, AIC=25806.672495700495, MSE=2.4064227729669003, Time=111.37s

p=2, d=1, q=2, P=2, D=1, Q=0, AIC=26870.871656546602, MSE=2.7544474694609082, Time=171.30s

p=2, d=1, q=2, P=2, D=1, Q=1, AIC=25670.619237794093, MSE=2.7983615341655694, Time=200.14s

p=2, d=1, q=2, P=2, D=1, Q=2, AIC=25676.834286877594, MSE=2.715440349677921, Time=199.31s
