p=1, d=0, q=0, P=0, D=0, Q=0, AIC=26961.927793836214, MSE=2.9006883199247406, Time=0.14s
p=1, d=0, q=0, P=0, D=0, Q=1, AIC=26805.389126625516, MSE=2.897205567689916, Time=5.88s
p=1, d=0, q=0, P=0, D=0, Q=2, AIC=26718.58186430054, MSE=2.8950383211299178, Time=33.96s
p=1, d=0, q=0, P=0, D=1, Q=0, AIC=28886.887166322136, MSE=2.574463057403542, Time=1.44s
p=1, d=0, q=0, P=0, D=1, Q=1, AIC=25670.043571668146, MSE=2.1905047292637816, Time=14.85s
p=1, d=0, q=0, P=0, D=1, Q=2, AIC=25670.297182492708, MSE=2.1857234389257942, Time=43.70s
p=1, d=0, q=0, P=1, D=0, Q=0, AIC=26749.07451573295, MSE=2.8999923868964927, Time=11.45s
p=1, d=0, q=0, P=1, D=0, Q=1, AIC=29561.393171406977, MSE=2.877159194029929, Time=13.07s
p=1, d=0, q=0, P=1, D=0, Q=2, AIC=28320.69056136092, MSE=3.7029311948571912, Time=58.04s
p=1, d=0, q=0, P=1, D=1, Q=0, AIC=27518.03441698476, MSE=2.4655132938003272, Time=6.96s
p=1, d=0, q=0, P=1, D=1, Q=1, AIC=25670.310869916408, MSE=2.1856858742330743, Time=17.10s
p=1, d=0, q=0, P=1, D=1, Q=2, AIC=25672.011354691225, MSE=2.1869789150530505, Time=104.16s
p=1, d=0, q=0, P=2, D=0, Q=0, AIC=33067.34721990218, MSE=4.734188390490027, Time=127.60s
p=1, d=0, q=0, P=2, D=0, Q=1, AIC=29374.959700113483, MSE=28.027468921977643, Time=71.23s
p=1, d=0, q=0, P=2, D=0, Q=2, AIC=26280.415276028227, MSE=4.654878313595671, Time=78.32s
p=1, d=0, q=0, P=2, D=1, Q=0, AIC=26886.85343707799, MSE=2.4081643448685135, Time=25.62s
p=1, d=0, q=0, P=2, D=1, Q=1, AIC=25672.24827854088, MSE=2.1866352269371974, Time=52.46s
p=1, d=0, q=0, P=2, D=1, Q=2, AIC=25674.089489736027, MSE=2.1863341215127687, Time=53.42s
p=1, d=0, q=1, P=0, D=0, Q=0, AIC=26890.822069653263, MSE=2.899423418232137, Time=2.35s
p=1, d=0, q=1, P=0, D=0, Q=1, AIC=26747.939133468488, MSE=2.8970289836019427, Time=3.54s
p=1, d=0, q=1, P=0, D=0, Q=2, AIC=26659.71397126993, MSE=2.8940174071553177, Time=54.64s
p=1, d=0, q=1, P=0, D=1, Q=0, AIC=28887.43797892245, MSE=2.5786745547763474, Time=1.69s
p=1, d=0, q=1, P=0, D=1, Q=1, AIC=25663.84262869865, MSE=2.188277122567828, Time=26.57s
p=1, d=0, q=1, P=0, D=1, Q=2, AIC=25664.322742687866, MSE=2.1840273912347383, Time=80.57s
p=1, d=0, q=1, P=1, D=0, Q=0, AIC=27491.497451989286, MSE=2.9052016126276237, Time=12.06s
p=1, d=0, q=1, P=1, D=0, Q=1, AIC=26173.07824726907, MSE=2.1329661211152975, Time=18.93s
p=1, d=0, q=1, P=1, D=0, Q=2, AIC=31986.480692284254, MSE=2.9268291508547817, Time=69.24s
p=1, d=0, q=1, P=1, D=1, Q=0, AIC=27518.042229946986, MSE=2.470985789496048, Time=10.80s
p=1, d=0, q=1, P=1, D=1, Q=1, AIC=25664.33718995819, MSE=2.183970514804746, Time=23.62s
p=1, d=0, q=1, P=1, D=1, Q=2, AIC=25666.53325407052, MSE=2.187305147156644, Time=78.41s
p=1, d=0, q=1, P=2, D=0, Q=0, AIC=27516.221171979367, MSE=2.933978252921529, Time=64.99s
p=1, d=0, q=1, P=2, D=0, Q=1, AIC=29381.703279916997, MSE=6.091096748290072, Time=66.84s
p=1, d=0, q=1, P=2, D=0, Q=2, AIC=32494.070252781858, MSE=152.35303980507786, Time=52.23s
p=1, d=0, q=1, P=2, D=1, Q=0, AIC=26887.069851041822, MSE=2.4087717101194017, Time=38.50s
p=1, d=0, q=1, P=2, D=1, Q=1, AIC=25666.241022897495, MSE=2.1850050957549807, Time=85.35s
p=1, d=0, q=1, P=2, D=1, Q=2, AIC=25668.128203564756, MSE=2.184640798183274, Time=98.59s
p=1, d=0, q=2, P=0, D=0, Q=0, AIC=26892.43361988476, MSE=2.899897680866448, Time=3.69s
p=1, d=0, q=2, P=0, D=0, Q=1, AIC=26750.09918396904, MSE=2.8970012082109835, Time=5.04s
p=1, d=0, q=2, P=0, D=0, Q=2, AIC=26660.83263986975, MSE=2.8938757838126477, Time=74.93s
p=1, d=0, q=2, P=0, D=1, Q=0, AIC=28869.950510863433, MSE=2.591205300890549, Time=3.58s

p=1, d=0, q=2, P=0, D=1, Q=1, AIC=25629.98356186779, MSE=2.201917364188056, Time=54.37s
p=1, d=0, q=2, P=0, D=1, Q=2, AIC=25631.299777691165, MSE=2.1894658003934206, Time=116.34s

p=1, d=0, q=2, P=1, D=0, Q=0, AIC=27222.99725945219, MSE=2.881421748570657, Time=12.12s

p=1, d=0, q=2, P=1, D=0, Q=1, AIC=48376.64232592357, MSE=390.12811904036147, Time=19.10s

p=1, d=0, q=2, P=1, D=0, Q=2, AIC=45468.6126618976, MSE=418.77911564538056, Time=101.10s
p=1, d=0, q=2, P=1, D=1, Q=0, AIC=27494.064639473214, MSE=2.479460928298963, Time=20.02s
p=1, d=0, q=2, P=1, D=1, Q=1, AIC=25631.384018859375, MSE=2.189652930613966, Time=68.57s
p=1, d=0, q=2, P=1, D=1, Q=2, AIC=25633.254862453206, MSE=2.1913240521634547, Time=124.73s

p=1, d=0, q=2, P=2, D=0, Q=0, AIC=27189.11644523722, MSE=2.7947714070710044, Time=86.65s

p=1, d=0, q=2, P=2, D=0, Q=1, AIC=29351.1735903606, MSE=4.469848839194897, Time=84.99s

p=1, d=0, q=2, P=2, D=0, Q=2, AIC=26260.027905731753, MSE=3.5374620479924452, Time=90.33s
p=1, d=0, q=2, P=2, D=1, Q=0, AIC=26859.86172522224, MSE=2.4124892051355102, Time=56.09s
p=1, d=0, q=2, P=2, D=1, Q=1, AIC=25633.07260481634, MSE=2.1907845997113147, Time=141.71s

